City,Latitude,Longitude
Acampo,38.1746398,-121.2785588
Aguanga,33.4428094,-116.8650235
Alameda,37.6090291,-121.899142
Alamo,37.8502033,-122.032184
Albany,37.88687,-122.2977475
Alpine,38.5893934,-119.8345013
Alturas,41.487123,-120.542327
American Canyon,38.223457,-122.2270431
Anaheim,33.8347516,-117.911732
Angels Camp,38.0695732,-120.540503
Angelus Oaks,34.1458435,-116.9825321
Aptos,37.7282436,-122.4676663
Arcata,40.866517,-124.08284
Armona,36.315894,-119.7024315
Artesia,33.8690197,-118.0796195
Arvin,35.209129,-118.828431
Atascadero,35.4894169,-120.6707255
Atherton,37.453773,-122.2058272
Auburn,38.8945939,-121.0739897
Avenal,36.0041223,-120.1290272
Avery,38.195551,-120.3818844
Avila Beach,35.1799752,-120.731841
Badger,36.6313367,-119.0131624
Bakersfield,35.3738712,-119.0194639
Bell Gardens,33.9694561,-118.1503953
Belvedere Tiburon,37.869392,-122.468064
Ben Lomond,37.0891143,-122.086352
Berkeley,37.8753497,-122.2396336
Bethel Island,38.0149216,-121.640508
Beverly Hills,34.0696501,-118.3963062
Big Sur,36.270241,-121.807454
Biola,36.8004675,-120.0200916
Bishop,37.363679,-118.39524
Bloomington,34.07029,-117.395879
Bodfish,35.568863,-118.4822625
Bonita,32.664798,-117.0159618
Bonsall,33.276248,-117.1996208
Borrego Springs,33.2566792,-116.3782682
Boulder Creek,32.9726949,-116.6881244
Boulevard,32.6636712,-116.273629
Brea,33.9170444,-117.888855
Brisbane,37.687165,-122.402794
Brookdale,37.1079169,-122.1087563
Buena Park,33.870413,-117.9962165
Burbank,34.1816482,-118.3258554
Byron,37.874063,-121.6346574
Calexico,32.6790572,-115.498703
California City,35.125801,-117.9859038
Calipatria,33.1439205,-115.5494557
Camino,38.7382366,-120.6749302
Campbell,37.2870626,-121.9448818
Canby,41.4437857,-120.8702518
Canoga Park,34.2011078,-118.5978087
Capistrano Beach,33.4625277,-117.6717175
Capitola,36.9762927,-121.954057
Cardiff By The Sea,33.0220155,-117.2803463
Carmel Valley,36.4829024,-121.7141729
Carmichael,38.6270984,-121.3222422
Carpinteria,34.3988838,-119.5184564
Carson,33.8322043,-118.2517547
Castro Valley,37.6945519,-122.0857432
Castroville,36.7657904,-121.758005
Cerritos,33.8644291,-118.0539323
Chualar,36.5714655,-121.5124016
Chula Vista,32.6400541,-117.0841955
Citrus Heights,38.7071247,-121.2810611
Clarksburg,38.4204651,-121.5271772
Clayton,37.9410341,-121.9357925
Clearlake,38.9582307,-122.626372
Clearlake Oaks,39.017434,-122.6515207
Coachella,33.686566,-116.1532775
Coalinga,36.139678,-120.3601496
Coarsegold,37.2621687,-119.7009834
Cobb,38.8221258,-122.723045
Compton,33.894927,-118.226624
Concord,37.9768525,-122.0335624
Corcoran,36.098007,-119.5604015
Corning,39.925985,-122.179941
Corona,33.8752945,-117.5664449
Corte Madera,37.9254806,-122.527475
Cotati,38.3266798,-122.706844
Courtland,38.3310231,-121.568566
Covina,34.0877926,-117.8891164
Crescent City,41.755948,-124.201747
Crestline,34.2495525,-117.2938956
Creston,35.5188604,-120.5237744
Crockett,38.0525612,-122.2202603
Culver City,34.0211224,-118.396466
Cupertino,37.3228934,-122.0322895
Cutler,37.7367941,-122.505361
Davenport,37.0116166,-122.1919134
Del Mar,32.9594891,-117.2653146
Del Rey,36.656079,-119.5999264
Delano,35.7688425,-119.2470536
Delhi,37.4340135,-120.7768387
Denair,37.55026,-120.718131
Diablo,37.8364786,-121.9632744
Diamond Springs,38.6798266,-120.8211942
Dixon,38.4454641,-121.8232958
Dodgertown,35.187133,-117.885359
Dos Palos,36.9860582,-120.626572
Downey,33.9404441,-118.1292846
Duarte,34.1394513,-117.9772873
Earlimart,35.875918,-119.262323
Earp,34.1647381,-114.3010628
Echo Lake,38.834515,-120.0442977
Edison,35.3474591,-118.8717638
El Cerrito,37.9154056,-122.301411
El Dorado,38.7574137,-120.5276129
El Segundo,33.917028,-118.4156337
Eldridge,38.334644,-122.5071134
Elk Grove,38.4087993,-121.3716178
Elmira,38.3526,-121.9107658
Elverta,38.713791,-121.4627326
Emigrant Gap,39.3013284,-120.6603526
Empire,39.0252071,-121.5526882
Encino,34.1591324,-118.5016166
Escalon,37.7974273,-120.9966033
Escondido,33.1216751,-117.0814849
Fairfax,37.9872935,-122.587967
Farmington,37.926645,-120.9853592
Fawnskin,34.2680621,-116.9425342
Felton,37.0415836,-122.0769929
Fiddletown,38.5037966,-120.7554891
Finley,39.0043407,-122.8755498
Floriston,39.3939338,-120.0216942
Fontana,34.0922335,-117.435048
Forest Falls,34.088345,-116.9203046
Fowler,36.6305058,-119.678469
Freedom,36.9390882,-121.7712975
Fresno,36.7394421,-119.7848307
Fulton,38.4956949,-122.7700047
Galt,38.2546373,-121.2999485
Garden Grove,33.7746292,-117.9463717
Gardena,33.8963593,-118.3053037
Gilroy,37.0065078,-121.5631723
Glen Ellen,38.355533,-122.5390729
Glendale,34.1469416,-118.2478471
Glendora,34.1361187,-117.865339
Gonzales,36.4920085,-121.4784397
Grand Terrace,34.0339031,-117.313654
Greenbrae,37.9485356,-122.5247031
Greenfield,36.3240265,-121.242926
Grizzly Flats,35.187133,-117.885359
Grover Beach,35.1209452,-120.621837
Gustine,37.2577171,-120.9988154
Harbor City,33.7911012,-118.3012604
Hathaway Pines,38.1918634,-120.3654745
Hawaiian Gardens,33.8284787,-118.074313
Hayward,37.6688205,-122.080796
Herald,38.2957474,-121.2443919
Hercules,38.0171441,-122.2885808
Hesperia,34.4263886,-117.3008784
Hilmar,37.4085479,-120.8502035
Homeland,33.7456205,-117.1077506
Hood,38.3682444,-121.5174543
Hopland,38.9729542,-123.1163918
Hughson,37.5969577,-120.8660083
Huntington Park,33.9827043,-118.2120343
Huron,36.2027308,-120.102917
Inglewood,33.9562003,-118.353132
Inyokern,35.647548,-117.817097
Irvine,33.6856969,-117.8259819
Isleton,38.1618614,-121.61162
Ivanhoe,36.3850195,-119.2202968
Jacumba,32.6185851,-116.1874664
Jamul,32.7169988,-116.8761347
Keene,35.2235728,-118.5623117
Kenwood,38.4138005,-122.5460935
Kerman,36.7235543,-120.059914
Kernville,35.7330735,-118.4339459
Keyes,37.5604627,-120.9072329
King City,36.226559,-121.1585662
Klamath,41.533995,-124.0155652
La Mesa,32.7678288,-117.0230839
La Puente,34.0280619,-117.953097
La Verne,34.1008426,-117.7678355
Lake Arrowhead,34.2585615,-117.183004
Lake Isabella,35.638326,-118.4844696
Lakeport,39.0429506,-122.915829
Lakewood,33.8503463,-118.117191
Lamont,35.26512,-118.91587
Larkspur,37.9340915,-122.5352539
Laton,36.43392,-119.6898994
Lawndale,33.8885217,-118.3531991
Livingston,37.3868826,-120.723532
Loma Linda,34.0754917,-117.2500587
Lomita,33.8036545,-118.3195014
Long Beach,33.7690164,-118.191604
Los Alamitos,33.8038865,-118.0772433
Los Altos,37.3790629,-122.116578
Los Angeles,34.0536909,-118.242766
Los Gatos,37.226611,-121.9746797
Los Osos,35.3107214,-120.8323487
Lynwood,33.924831,-118.2024154
Lytle Creek,34.2591728,-117.5000512
Madeline,41.0513618,-120.4757656
Madera,37.1716264,-119.7737991
Manteca,37.7986184,-121.2117148
Maricopa,35.058858,-119.40095
Mather,37.8821454,-119.8557341
Maxwell,39.2770035,-122.192406
Maywood,33.9866807,-118.185349
McFarland,35.6780104,-119.2292748
Mckinleyville,40.966005,-124.1027898
Mecca,33.5700371,-116.0744098
Menifee,33.6864432,-117.1770437
Menlo Park,37.4519671,-122.1779927
Mentone,34.05884,-117.1096065
Merced,37.1641544,-120.7678602
Middletown,38.7528585,-122.6241949
Midway City,33.7457982,-117.9834996
Millbrae,37.598958,-122.400941
Milpitas,37.4332273,-121.8989248
Mission Hills,34.687584,-120.4390175
Mission Viejo,33.5965685,-117.659405
Modesto,37.6390972,-120.9968782
Mojave,33.7232403,-117.7796065
Montague,41.728267,-122.527392
Montclair,34.0775104,-117.6897776
Monterey,36.2231079,-121.3877428
Monterey Park,34.051522,-118.129807
Montrose,34.2064181,-118.2288887
Moreno Valley,33.937517,-117.2305944
Morgan Hill,37.130408,-121.6544974
Morongo Valley,34.0537585,-116.5967236
Morro Bay,35.3658075,-120.849901
Moss Landing,36.7988827,-121.786581
Mount Hermon,37.0510596,-122.0585746
Mountain Center,33.7152274,-116.724991
Mountain View,37.3893889,-122.0832101
Mt Baldy,40.3818066,-123.8711509
Murphys,38.1374202,-120.459643
Napa,38.2971367,-122.2855293
Needles,34.8480597,-114.6141316
Newcastle,38.8740658,-121.1332806
Nogales,33.7514915,-116.9930887
Norden,39.3178273,-120.3557319
North Highlands,38.6710975,-121.3879538
North Hollywood,34.1729044,-118.3740371
North Palm Springs,33.9227924,-116.5430685
Northridge,34.2345615,-118.5369316
Novato,38.1061979,-122.5681191
Nuevo,33.8056345,-117.1395602
Oak Park,34.1792025,-118.7619719
Oak View,34.398051,-119.2990023
Oakland,37.8044557,-122.2713563
Oceano,35.0988648,-120.612393
Ojai,34.4480495,-119.242889
Orange,33.7500378,-117.8704931
Orange Cove,36.624394,-119.31373
Orangevale,38.6840715,-121.218399
Orosi,36.555602,-119.166499
Oroville,39.5137752,-121.556359
Palo Alto,37.4443293,-122.1598465
Pasadena,34.1476452,-118.1444779
Patterson,37.471623,-121.1296949
Pebble Beach,36.5672414,-121.9442134
Penn Valley,39.1948165,-121.1926464
Penngrove,38.2996376,-122.6666533
Perris,33.7825194,-117.2286478
Pine Mountain Club,34.8447503,-119.1578132
Pine Valley,32.8417439,-116.5150479
Pinole,38.0043667,-122.2988587
Pinon Hills,34.433331,-117.6467225
Pioneertown,34.1557575,-116.4962719
Pismo Beach,33.7312058,-117.7697509
Placerville,38.7296252,-120.798546
Planada,37.289085,-120.317156
Playa Vista,33.9760102,-118.4181654
Pollock Pines,38.7497125,-120.5776645
Pomona,34.0553813,-117.7517496
Port Costa,38.0461551,-122.1846135
Porterville,36.06523,-119.0167679
Rancho Cordova,38.5890723,-121.302728
Rancho Santa Fe,33.0241949,-117.1981516
Redding,40.5863563,-122.391675
Redlands,34.0550328,-117.1827445
Redwood City,37.4863239,-122.232523
Redwood Valley,39.2654449,-123.204449
Reedley,36.5963395,-119.450402
Rescue,38.7116667,-120.9513889
Rialto,34.1064001,-117.3703235
Richmond,37.9357576,-122.347748
Rio Dell,40.499301,-124.106437
Rio Rico,38.75123,-121.494358
Ripon,37.741595,-121.124382
Riverbank,37.7360396,-120.9354895
Riverside,33.9533546,-117.3961623
Rodeo,38.0339842,-122.2676656
Rohnert Park,38.3396367,-122.7010984
Rosemead,34.0676169,-118.0879763
Ross,37.9624239,-122.554977
Ryde,38.2385259,-121.5605093
Sacramento,38.5810606,-121.493895
Salida,37.7151375,-121.0866788
Salinas,36.6744117,-121.6550372
San Anselmo,37.9744323,-122.561503
San Bernardino,34.8253019,-116.0833144
San Bruno,37.6261715,-122.433243
San Carlos,37.504936,-122.261823
San Clemente,33.4270275,-117.6124179
San Diego,32.7174202,-117.1627728
San Fernando,34.28497,-118.437652
San Francisco,37.7790262,-122.419906
San Gabriel,34.0990733,-118.1085682
San Jacinto,33.7839664,-116.9589086
San Jose,37.3361663,-121.890591
San Leandro,37.7249296,-122.1560768
San Lorenzo,37.6810422,-122.1244088
San Luis Obispo,35.3540209,-120.3757163
San Marino,34.1215947,-118.105739
San Martin,37.089655,-121.5945046
San Mateo,37.496904,-122.3330573
San Quentin,37.9413133,-122.4849739
San Rafael,37.9735346,-122.5310874
San Ramon,37.7648021,-121.9544387
San Ysidro,32.5520013,-117.0430813
Sanger,36.708006,-119.5559652
Santa Barbara,34.4221319,-119.7026673
Santa Clara,37.2333253,-121.6846349
Santa Clarita,34.3916641,-118.542586
Santa Cruz,37.050096,-121.9905908
Santa Fe Springs,33.9480787,-118.0691499
Santa Margarita,35.3899734,-120.609057
Santa Monica,34.0194704,-118.4912273
Santa Rosa,38.4404925,-122.7141049
Saratoga,37.2638324,-122.0230146
Scotts Valley,37.0510595,-122.014684
Seaside,36.62593,-121.8169383
Sebastopol,38.3845125,-122.8332502
Selma,36.5707838,-119.6120765
Shafter,35.5005139,-119.271776
Sheridan,38.9796179,-121.3755114
Sierra Madre,34.1616729,-118.052845
Signal Hill,33.804826,-118.168259
Silverado,33.7461295,-117.6369939
Sloughhouse,38.4957417,-121.193836
Soda Springs,39.0240651,-123.315841
Solana Beach,32.9905597,-117.269131
Soledad,36.4198255,-121.3515303
Somerset,38.6476828,-120.6857641
Sonoma,38.5110803,-122.8473388
Soquel,36.9886992,-121.955071
South Pasadena,34.1133062,-118.1478291
South San Francisco,37.6535403,-122.4168664
Spreckels,36.6242297,-121.6469862
Spring Valley,32.7296395,-116.9668618
Squaw Valley,36.7059295,-119.2001152
Stanford,37.4383017,-122.1561814
Stevinson,37.3277436,-120.8516178
Stockton,37.9577016,-121.2907796
Stonyford,39.3748343,-122.5453889
Sugarloaf,34.3100005,-118.383692
Sultana,36.5449894,-119.338179
Summerland,34.424449,-119.5921199
Sun Valley,34.2175042,-118.3703576
Sunnyvale,37.3688301,-122.036349
Sunol,37.5943781,-121.8885683
Sylmar,34.3076252,-118.4492148
Tehachapi,35.1321878,-118.4489739
Temecula,33.4946353,-117.1473661
Templeton,35.5496939,-120.706004
Terra Bella,33.7288611,-117.7735323
Torrance,33.8358492,-118.3406288
Tracy,37.7385507,-121.4201395
Tubac,37.2415014,-121.8860798
Tulare,36.2516475,-118.852583
Tumacacori,33.8147225,-116.3785137
Ukiah,39.1501662,-123.2077861
Upland,34.09751,-117.6483876
Valencia,34.4131941,-118.5598491
Vallecito,38.0704785,-120.4456716
Van Nuys,34.1866193,-118.4486675
Villa Park,33.8147541,-117.8206235
Visalia,36.3302284,-119.2920585
Walnut Creek,37.9020731,-122.0618702
Walnut Grove,38.2503075,-121.5047736
Wasco,35.5941238,-119.3409457
Watsonville,36.9092773,-121.7529071
West Covina,34.0686208,-117.9389526
West Hollywood,34.0923014,-118.3692894
Whitewater,33.9250147,-116.6383477
Whittier,33.9708782,-118.030839
Wildomar,33.5939372,-117.2414989
Willits,39.4096043,-123.3555602
Wilmington,33.7800164,-118.262509
Wilton,38.4203098,-121.2063669
Windsor,38.5471327,-122.8163802
Winterhaven,32.7365995,-114.6395374
Winters,38.5249065,-121.970801
Winton,37.3823369,-120.6185376
Wofford Heights,35.7105005,-118.473699
Woodbridge,38.1540849,-121.301337
Woodlake,36.4134809,-119.098633
Woodland,38.6786109,-121.7733285
Wrightwood,34.3608341,-117.633388
Yolo,38.7184542,-121.9059001
Yorba Linda,33.8901096,-117.8249705
Yountville,38.4022008,-122.359506
Yuba City,39.1404477,-121.6169108
Zamora,38.7965684,-121.8819117
